accuracy,balanced_accuracy,f1,roc_auc,Method,Dataset,Mechanism,Missing_Ratio
0.9325757575757576,0.8459572000843347,0.7676240208877284,0.9523156933024106,Oracle,Musk V2,MCAR,0.29156139464375946
0.9295454545454546,0.8381562302340291,0.7559055118110236,0.945959835547122,Naive,Musk V2,MCAR,0.29156139464375946
0.9075757575757576,0.7230128610584019,0.6038961038961039,0.9463771171551056,Unlabeled (CNe),Musk V2,MCAR,0.29156139464375946
0.9075757575757576,0.7230128610584019,0.6038961038961039,0.9463771171551056,Unlabeled (Sportisse EM),Musk V2,MCAR,0.29156139464375946
0.9325757575757576,0.8459572000843347,0.7676240208877284,0.9523156933024106,Oracle,Musk V2,MAR1,0.467155128852956
0.9257575757575758,0.8259013282732448,0.7393617021276596,0.9448749033663645,Naive,Musk V2,MAR1,0.467155128852956
0.8818181818181818,0.6236559139784946,0.3953488372093023,0.9353960222081664,Unlabeled (CNe),Musk V2,MAR1,0.467155128852956
0.8818181818181818,0.6236559139784946,0.3953488372093023,0.9353960222081664,Unlabeled (Sportisse EM),Musk V2,MAR1,0.467155128852956
0.9325757575757576,0.8459572000843347,0.7676240208877284,0.9523156933024106,Oracle,Musk V2,MAR2,0.39641232945932287
0.9295454545454546,0.8341503267973855,0.753315649867374,0.9452570454705178,Naive,Musk V2,MAR2,0.39641232945932287
0.8772727272727273,0.6169618384988403,0.3769230769230769,0.9285877433410641,Unlabeled (CNe),Musk V2,MAR2,0.39641232945932287
0.8772727272727273,0.6169618384988403,0.3769230769230769,0.9285877433410641,Unlabeled (Sportisse EM),Musk V2,MAR2,0.39641232945932287
0.9325757575757576,0.8459572000843347,0.7676240208877284,0.9523156933024106,Oracle,Musk V2,MNAR,0.8888327438100051
0.9030303030303031,0.7323423993253215,0.6073619631901841,0.8802884953264459,Naive,Musk V2,MNAR,0.8888327438100051
0.8454545454545455,0.5,0.0,0.8816545435378452,Unlabeled (CNe),Musk V2,MNAR,0.8888327438100051
0.8454545454545455,0.5,0.0,0.8816545435378452,Unlabeled (Sportisse EM),Musk V2,MNAR,0.8888327438100051
1.0,1.0,1.0,1.0,Oracle,Isolet,MCAR,0.2722222222222222
1.0,1.0,1.0,1.0,Naive,Isolet,MCAR,0.2722222222222222
0.9916666666666667,0.9916666666666667,0.9915966386554622,1.0,Unlabeled (CNe),Isolet,MCAR,0.2722222222222222
1.0,1.0,1.0,1.0,Unlabeled (Sportisse EM),Isolet,MCAR,0.2722222222222222
1.0,1.0,1.0,1.0,Oracle,Isolet,MAR1,0.45555555555555555
1.0,1.0,1.0,1.0,Naive,Isolet,MAR1,0.45555555555555555
0.9916666666666667,0.9916666666666667,0.9917355371900827,1.0,Unlabeled (CNe),Isolet,MAR1,0.45555555555555555
0.9916666666666667,0.9916666666666667,0.9915966386554622,1.0,Unlabeled (Sportisse EM),Isolet,MAR1,0.45555555555555555
1.0,1.0,1.0,1.0,Oracle,Isolet,MAR2,0.36944444444444446
1.0,1.0,1.0,1.0,Naive,Isolet,MAR2,0.36944444444444446
0.9666666666666667,0.9666666666666667,0.9655172413793104,0.9988888888888888,Unlabeled (CNe),Isolet,MAR2,0.36944444444444446
0.9916666666666667,0.9916666666666667,0.9915966386554622,1.0,Unlabeled (Sportisse EM),Isolet,MAR2,0.36944444444444446
1.0,1.0,1.0,1.0,Oracle,Isolet,MNAR,0.3888888888888889
1.0,1.0,1.0,1.0,Naive,Isolet,MNAR,0.3888888888888889
0.5,0.5,0.0,0.9936111111111111,Unlabeled (CNe),Isolet,MNAR,0.3888888888888889
