Dataset,Scheme,Parameter,Actual_Missing_Rate,Method,accuracy,balanced_accuracy,f1,roc_auc
Musk V2,MCAR,0.5,0.4946942900454775,Sportisse_EM,0.4871212121212121,0.6909098526577612,0.3714020427112349,0.9156828415310186
Musk V2,MCAR,0.7,0.6995957554320363,Naive,0.9234848484848485,0.8399102980802731,0.7430025445292621,0.9432461157833925
Musk V2,MCAR,0.7,0.6995957554320363,LabelProp_CNe,0.9318181818181818,0.84080334816605,0.7619047619047619,0.9353078927987086
Musk V2,MCAR,0.7,0.6995957554320363,Sportisse_EM,0.8613636363636363,0.5532919369705095,0.19383259911894274,0.9351050271002114
Musk V2,MCAR,0.9,0.9012127337038909,Naive,0.896969696969697,0.7839348007285525,0.6494845360824743,0.9201061957830395
Musk V2,MCAR,0.9,0.9012127337038909,LabelProp_CNe,0.9174242424242425,0.7778819057027312,0.6822157434402333,0.8899585889367632
Musk V2,MCAR,0.9,0.9012127337038909,Sportisse_EM,0.15378787878787878,0.5,0.2665791201575837,0.8580160616711723
Musk V2,MAR1,default,0.5060636685194543,Naive,0.9166666666666666,0.8298353700755454,0.7222222222222222,0.9525823480381563
Musk V2,MAR1,default,0.5060636685194543,LabelProp_CNe,0.9242424242424242,0.8121419530674616,0.7252747252747253,0.952670550515764
Musk V2,MAR1,default,0.5060636685194543,Sportisse_EM,0.5287878787878788,0.6913442498599786,0.37675350701402804,0.8216766408968428
Musk V2,MAR2,default,0.5962607377463366,Naive,0.921969696969697,0.8430458961592231,0.7418546365914787,0.9541391217679304
Musk V2,MAR2,default,0.5962607377463366,LabelProp_CNe,0.9333333333333333,0.8275906170204321,0.7569060773480663,0.9410542842148435
Musk V2,MAR2,default,0.5962607377463366,Sportisse_EM,0.8909090909090909,0.6473356236576686,0.45454545454545453,0.9258217163320117
Musk V2,MNAR,default,0.7400202122283982,Naive,0.9234848484848485,0.7633240867735975,0.6813880126182965,0.911263897402878
Musk V2,MNAR,default,0.7400202122283982,LabelProp_CNe,0.9272727272727272,0.7716085044828909,0.6981132075471698,0.9044590762554521
Musk V2,MNAR,default,0.7400202122283982,Sportisse_EM,0.8462121212121212,0.5,0.0,0.8625364386485617
telescope,Oracle,0.0,0.0,Oracle,0.7815457413249212,0.7316827236060649,0.8422850635794268,0.829318795408285
telescope,MCAR,0.1,0.09735366281107606,Naive,0.7804942166140905,0.7301879552951531,0.8416461217523231,0.8295367066847542
telescope,MCAR,0.1,0.09735366281107606,LabelProp_CNe,0.7815457413249212,0.7298024432733607,0.8429408429408429,0.8287241612991998
telescope,MCAR,0.1,0.09735366281107606,Sportisse_EM,0.7810199789695058,0.737259918751523,0.839715220319415,0.8305483726664702
telescope,MCAR,0.3,0.30336487907465826,Naive,0.7820715036803365,0.7315754348830189,0.8429031646768997,0.8276306649354994
telescope,MCAR,0.3,0.30336487907465826,LabelProp_CNe,0.7807570977917981,0.7283394978887762,0.8425821064552661,0.8264135137723564
telescope,MCAR,0.3,0.30336487907465826,Sportisse_EM,0.7815457413249212,0.7383491720583796,0.8399152379117704,0.8280010231828503
telescope,MCAR,0.5,0.49412898703119523,Naive,0.7807570977917981,0.7309035165242818,0.8416856492027335,0.8301177023968422
telescope,MCAR,0.5,0.49412898703119523,LabelProp_CNe,0.7804942166140905,0.7238633759942391,0.8438376659809239,0.823219704271061
