Dataset,Scheme,Parameter,Actual_Missing_Rate,Method,accuracy,balanced_accuracy,f1,roc_auc
Spambase,MNAR,default,0.6315217391304347,Naive,0.8707926167209555,0.8442711573210107,0.8143525741029641,0.9625729435113599
Spambase,MNAR,default,0.6315217391304347,LabelProp_CNe,0.7633007600434311,0.7035753428715306,0.583969465648855,0.9490802452679286
Spambase,MNAR,default,0.6315217391304347,Sportisse_EM,0.507057546145494,0.5922272579164075,0.6139455782312925,0.946708038350267
Musk V2,Oracle,0.0,0.0,Oracle,0.9272727272727272,0.8381175827228987,0.75,0.9588270834527742
Musk V2,MCAR,0.1,0.9065184436584134,Naive,0.9151515151515152,0.8108012754078262,0.7052631578947368,0.9157048921504205
Musk V2,MCAR,0.1,0.9065184436584134,LabelProp_CNe,0.9128787878787878,0.7812424200995807,0.676056338028169,0.8826598339147348
Musk V2,MCAR,0.1,0.9065184436584134,Sportisse_EM,0.15378787878787878,0.5,0.2665791201575837,0.825103307151898
Musk V2,MCAR,0.3,0.6879737241030823,Naive,0.921969696969697,0.8208762034125539,0.726790450928382,0.9425140352192494
Musk V2,MCAR,0.3,0.6879737241030823,LabelProp_CNe,0.9318181818181818,0.8287107884860485,0.7540983606557377,0.9398988317581841
Musk V2,MCAR,0.3,0.6879737241030823,Sportisse_EM,0.8689393939393939,0.5759070522290971,0.26382978723404255,0.9311711965989126
Musk V2,MCAR,0.5,0.4888832743810005,Naive,0.921969696969697,0.8369996163192224,0.7379134860050891,0.9498877623472443
Musk V2,MCAR,0.5,0.4888832743810005,LabelProp_CNe,0.9348484848484848,0.8607326979814862,0.7806122448979592,0.9449925248400227
Musk V2,MCAR,0.5,0.4888832743810005,Sportisse_EM,0.8734848484848485,0.6108396434855855,0.36015325670498083,0.9427565920326701
Musk V2,MCAR,0.7,0.3057099545224861,Naive,0.931060606060606,0.8524482802721929,0.7672634271099744,0.9582625875960856
Musk V2,MCAR,0.7,0.3057099545224861,LabelProp_CNe,0.931060606060606,0.8464020004321922,0.7636363636363637,0.954853561836552
Musk V2,MCAR,0.7,0.3057099545224861,Sportisse_EM,0.9075757575757576,0.7216770819092309,0.6013071895424836,0.9542978862276241
Musk V2,MCAR,0.9,0.10030318342597272,Naive,0.928030303030303,0.8526731965900922,0.760705289672544,0.9580156206587843
Musk V2,MCAR,0.9,0.10030318342597272,LabelProp_CNe,0.9287878787878788,0.8450591177106165,0.7577319587628866,0.9572747198468805
Musk V2,MCAR,0.9,0.10030318342597272,Sportisse_EM,0.9295454545454546,0.83139875899114,0.7506702412868632,0.9576231196334305
Musk V2,MAR1,default,0.49722081859525014,Naive,0.9227272727272727,0.8394626705064145,0.7411167512690355,0.9499318635860481
Musk V2,MAR1,default,0.49722081859525014,LabelProp_CNe,0.9340909090909091,0.8562542171809606,0.7763496143958869,0.9496407954099432
Musk V2,MAR1,default,0.49722081859525014,Sportisse_EM,0.8704545454545455,0.5989720001234835,0.32941176470588235,0.9226817081291814
Musk V2,MAR2,default,0.3974229408792319,Naive,0.921969696969697,0.8369996163192224,0.7379134860050891,0.9530321806739551
Musk V2,MAR2,default,0.3974229408792319,LabelProp_CNe,0.9333333333333333,0.8517757363804349,0.772020725388601,0.9553386754633937
Musk V2,MAR2,default,0.3974229408792319,Sportisse_EM,0.6272727272727273,0.7535666876882572,0.43577981651376146,0.838377780031841
Musk V2,MNAR,default,0.5515411824153613,Naive,0.918939393939394,0.7505611882637784,0.65814696485623,0.9342803339345802
Musk V2,MNAR,default,0.5515411824153613,LabelProp_CNe,0.9204545454545454,0.7534718700248291,0.6645367412140575,0.9247985675917635
Musk V2,MNAR,default,0.5515411824153613,Sportisse_EM,0.8462121212121212,0.5,0.0,0.9152682898862629
telescope,Oracle,0.0,0.0,Oracle,0.7815457413249212,0.7316827236060649,0.8422850635794268,0.8293187954082852
telescope,MCAR,0.1,0.9003680336487907,Naive,0.7733964248159831,0.721294811226401,0.8369277336360197,0.8251615089279976
telescope,MCAR,0.1,0.9003680336487907,LabelProp_CNe,0.7802313354363828,0.70930211413338,0.848385926731955,0.8094931123064407
telescope,MCAR,0.1,0.9003680336487907,Sportisse_EM,0.6482649842271293,0.5,0.7866028708133971,0.8170399950538081
telescope,MCAR,0.3,0.6916403785488959,Naive,0.7799684542586751,0.7282440291097946,0.841747022121384,0.8258431257023774
telescope,MCAR,0.3,0.6916403785488959,LabelProp_CNe,0.7831230283911672,0.7217885211977059,0.84736355226642,0.8124023339237244
telescope,MCAR,0.3,0.6916403785488959,Sportisse_EM,0.7707676130389064,0.7609752726770173,0.8178780284043442,0.8297279473182062
telescope,MCAR,0.5,0.4993866105853488,Naive,0.7786540483701367,0.729623325659462,0.8398021308980214,0.8293569829198778
telescope,MCAR,0.5,0.4993866105853488,LabelProp_CNe,0.777602523659306,0.7230005200775389,0.8409774436090226,0.8240061851645759
telescope,MCAR,0.5,0.4993866105853488,Sportisse_EM,0.41140904311251314,0.5427781960219524,0.18015378982057853,0.827595811254284
telescope,MCAR,0.7,0.2972309849281458,Naive,0.7812828601472135,0.7301124894984343,0.8425435276305829,0.8294821530967647
telescope,MCAR,0.7,0.2972309849281458,LabelProp_CNe,0.7802313354363828,0.7260537025520168,0.8427980443775855,0.8265441393080423
telescope,MCAR,0.7,0.2972309849281458,Sportisse_EM,0.7789169295478444,0.738714681097909,0.8367941005239666,0.8296339939166688
telescope,MCAR,0.9,0.1034875569575885,Naive,0.7810199789695058,0.7311062740263093,0.841905484911748,0.8294397225283284
telescope,MCAR,0.9,0.1034875569575885,LabelProp_CNe,0.7815457413249212,0.7313408544546642,0.8424047032050066,0.8289717739735742
telescope,MCAR,0.9,0.1034875569575885,Sportisse_EM,0.7818086225026288,0.7349623034706994,0.8414214749713412,0.8299628308220498
telescope,MAR1,default,0.49964949176305645,Naive,0.7820715036803365,0.7262764630363072,0.8447274770556283,0.8231990951378204
telescope,MAR1,default,0.49964949176305645,LabelProp_CNe,0.7797055730809674,0.7225713651853549,0.843423019431988,0.8267759920569975
telescope,MAR1,default,0.49964949176305645,Sportisse_EM,0.6692954784437434,0.5345105997621463,0.7949804432855281,0.7451953442755708
telescope,MAR2,default,0.39519803715387314,Naive,0.7765509989484752,0.7321036954600504,0.8365384615384616,0.8303301583145124
telescope,MAR2,default,0.39519803715387314,LabelProp_CNe,0.7825972660357519,0.7229214173749541,0.8464252553389043,0.8172369941215478
telescope,MAR2,default,0.39519803715387314,Sportisse_EM,0.7628811777076762,0.7632683418255085,0.8064377682403433,0.8284741240209147
telescope,MNAR,default,0.7161759551349457,Naive,0.7463196635120926,0.7578448059528875,0.7860784748392817,0.832168311154269
telescope,MNAR,default,0.7161759551349457,LabelProp_CNe,0.7202944269190326,0.7509337755810866,0.7501174260216064,0.8282868233688174
telescope,MNAR,default,0.7161759551349457,Sportisse_EM,0.6819137749737119,0.548345389676279,0.8028031290743155,0.8273406216926888
Madelon,Oracle,0.0,0.0,Oracle,0.6384615384615384,0.6384615384615384,0.6356589147286822,0.6660207100591716
Madelon,MCAR,0.1,0.8955128205128206,Naive,0.5307692307692308,0.5307692307692308,0.5821917808219178,0.5236538461538461
Madelon,MCAR,0.1,0.8955128205128206,LabelProp_CNe,0.5019230769230769,0.5019230769230769,0.5959438377535101,0.5095710059171598
